Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||1|24/07/2018|Vente|44064,00|9|B|ZA|A032|LE BOULAIS|35690|ACIGNE|35|1||B|1543||||||||||||0||||||S||505
|||||||1|24/07/2018|Vente|44064,00|9|B|ZA|A032|LE BOULAIS|35690|ACIGNE|35|1||B|1545||||||||||||0||||||S||1
|||||||1|24/07/2018|Vente|87100,00|10||RUE|9440|VASSELOT|35000|RENNES|35|238||BS|180||16|30,43|||||||||1|2|Appartement||29|1|||
|||||||1|19/07/2018|Vente|322000,00|9005|||B051|CARCE|35170|BRUZ|35|47||ZE|1152||||||||||||0|1|Maison||111|5|S||626
|||||||1|19/07/2018|Vente|322000,00||||B234|HAUT CARCE|35170|BRUZ|35|47||ZE|1155||||||||||||0||||||S||450
|||||||1|19/07/2018|Vente|322000,00||||B234|HAUT CARCE|35170|BRUZ|35|47||ZE|1157||||||||||||0||||||S||94
|||||||1|19/07/2018|Vente|322000,00||||B234|HAUT CARCE|35170|BRUZ|35|47||ZE|1159||||||||||||0||||||S||7
|||||||1|06/08/2018|Vente|191000,00|14||BD|4820|JEAN MERMOZ|35200|RENNES|35|238||DE|199||83|75,44|84||||||||2|2|Appartement||81|5|||
|||||||1|06/08/2018|Vente|191000,00|14||BD|4820|JEAN MERMOZ|35200|RENNES|35|238||DE|199||107||||||||||1|3|Dépendance||0|0|||
|||||||1|24/07/2018|Vente|431000,00|36||RUE|0642|DE LA MONNIAIS|35510|CESSON-SEVIGNE|35|51||AZ|659||||||||||||0|1|Maison||173|5|S||563
|||||||1|03/08/2018|Vente|323000,00|8||RUE|9290|DE TOULOUSE|35000|RENNES|35|238||AC|383||113|96,92|114||251||254||||4|2|Appartement||91|4|||
|||||||1|03/08/2018|Vente|272000,00|49||RUE|0190|ALBERT THOMAS|35200|RENNES|35|238||CS|231||||||||||||0|1|Maison||58|3|S||210
|||||||1|24/07/2018|Vente|119457,45|9||RUE|0085|DU GRAND FOUR|35690|ACIGNE|35|1||AB|294||||||||||||0||||||J|POTAG|760
|||||||1|24/07/2018|Vente|119457,45|9||RUE|0085|DU GRAND FOUR|35690|ACIGNE|35|1||AB|690||||||||||||0|1|Maison||74|2|S||610
|||||||1|24/07/2018|Vente|119457,45|9||RUE|0085|DU GRAND FOUR|35690|ACIGNE|35|1||AB|690||||||||||||0|4|Local industriel. commercial ou assimilé||74|0|S||610
|||||||1|26/07/2018|Vente|132000,00|4|B|RUE|7600|PIERRE LOTI|35700|RENNES|35|238||AY|263||22||4||||||||2|2|Appartement||52|3|||
|||||||1|26/07/2018|Vente|70000,00|17||RUE|8750|SAINT MARTIN|35700|RENNES|35|238||AB|280||24||||||||||1|3|Dépendance||0|0|||
|||||||1|26/07/2018|Vente|70000,00|17||RUE|8750|SAINT MARTIN|35700|RENNES|35|238||AB|280||1|13,34|||||||||1|2|Appartement||15|1|||
|||||||1|24/07/2018|Vente|118000,00|1||SQ|0436|D ANJOU|35000|RENNES|35|238||EX|45||101||218||||||||2|2|Appartement||76|5|||
|||||||1|25/07/2018|Vente|174500,00|17||BD|4590|JACQUES CARTIER|35000|RENNES|35|238||CZ|103||17|25,97|21||||||||2|2|Appartement||26|2|||
|||||||1|25/07/2018|Vente|174500,00|17||BD|4590|JACQUES CARTIER|35000|RENNES|35|238||CZ|103||16|30,64|18||||||||2|2|Appartement||36|3|||
|||||||1|26/07/2018|Vente en l'état futur d'achèvement|140000,00|||||||BETTON|35|24||AT|2||28||||||||||1||||||||
|||||||1|26/07/2018|Vente en l'état futur d'achèvement|140000,00|||||||BETTON|35|24||AT|2||85||||||||||1||||||||
|||||||1|27/07/2018|Vente|255000,00|4||RUE|0632|DU CLOS FOUGERES|35520|LA CHAPELLE DES FOUGERETZ|35|59||AH|150||||||||||||0|1|Maison||116|4|S||235
|||||||1|27/07/2018|Vente|255000,00|22||ALL|0426|SCHUBERT|35135|CHANTEPIE|35|55||AN|210||||||||||||0|1|Maison||91|5|S||260
|||||||1|27/07/2018|Vente|260000,00|11||AV|0511|DES PEUPLIERS|35510|CESSON-SEVIGNE|35|51||AZ|135||16||17||18||19||20||8|4|Local industriel. commercial ou assimilé||228|0|||
|||||||1|27/07/2018|Vente|284000,00|10||RUE|0575|DES SAULES|35510|CESSON-SEVIGNE|35|51||AV|115||84||||||||||1|3|Dépendance||0|0|||
